Показатели,"Абсолютные величины, тысяч рублей",,,,"Удельный вес, %",,,,Отклонения,,,,,,,,,,,
,,,,,,,,,"Абсолютные величины, тысяч рублей",,,"Удельного веса, %",,,"К величинам на начало года, %",,,"К изменению итога баланса, %",,
,На начало 2020 г.,На конец 2020 г.,На конец 2021 г.,На конец 2022 г.,На начало 2020 г.,На конец 2020 г.,На конец 2021 г.,На конец 2022 г.,На конец 2020 г.,На конец 2021 г.,На конец 2022 г.,На конец 2020 г.,На конец 2021 г.,На конец 2022 г.,На конец 2020 г.,На конец 2021 г.,На конец 2022 г.,На конец 2020 г.,На конец 2021 г.,На конец 2022 г.
I. Внеоборотные активы,,,,,,,,,,,,,,,,,,,,
"Нематериальные, финансовые и другие внеоборотные активы3",33,34,34,34,"0,08%","0,10%","0,08%","0,12%",1,0,0,"0,02%","-0,02%","0,03%","3,03%","0,00%","0,00%","-0,02%","0,00%","0,00%"
Материальные внеоборотные активы2,352,119,369,219,"0,90%","0,37%","0,92%","0,75%",-233,250,-150,"-0,53%","0,55%","-0,17%","-66,19%","210,08%","-40,65%","3,53%","3,31%","1,38%"
Итог по разделу I,385,153,403,253,"0,98%","0,47%","1,01%","0,87%",-232,250,-150,"-0,51%","0,53%","-0,14%","-60,26%","163,40%","-37,22%","3,51%","3,31%","1,38%"
II. Оборотные активы,,,,,,,,,,,,,,,,,,,,
Запасы,2 241,258,252,4 434,"5,72%","0,79%","0,63%","15,18%",-1983,-6,4182,"-4,93%","-0,16%","14,55%","-88,49%","-2,33%","1659,52%","30,00%","-0,08%","-38,41%"
Денежные средства и денежные эквиваленты,1 517,4 847,1 622,557,"3,88%","14,90%","4,04%","1,91%",3330,-3225,-1065,"11,02%","-10,85%","-2,14%","219,51%","-66,54%","-65,66%","-50,39%","-42,66%","9,78%"
Финансовые и другие оборотные активы4,35 038,27 282,37 822,23 968,"89,50%","83,84%","94,32%","82,05%",-7756,10540,-13854,"-5,66%","10,48%","-12,27%","-22,14%","38,63%","-36,63%","117,36%","139,42%","127,25%"
Итог по разделу II,38 796,32 387,39 696,28 959,"99,10%","99,53%","98,99%","99,13%",-6409,7309,-10737,"0,43%","-0,54%","0,14%","-16,52%","22,57%","-27,05%","96,97%","96,68%","98,62%"
БАЛАНС,39 148,32 539,40 099,29 212,"100,00%","100,00%","100,00%","100,00%",-6609,7560,-10887,"0,00%","0,00%","0,00%","-16,88%","23,23%","-27,15%","100,00%","100,00%","100,00%"
III. Капитал и резервы,,,,,,,,,,,,,,,,,,,,
Капитал и резервы5,31 575,23 467,26 076,17 181,"80,66%","72,12%","65,03%","58,81%",-8108,2609,-8895,"-8,54%","-7,09%","-6,21%","-25,68%","11,12%","-34,11%","122,68%","34,51%","81,70%"
Итог по разделу III,31 575,23 467,26 076,17 181,"80,66%","72,12%","65,03%","58,81%",-8108,2609,-8895,"-8,54%","-7,09%","-6,21%","-25,68%","11,12%","-34,11%","122,68%","34,51%","81,70%"
IV. Долгосрочные обязательства,,,,,,,,,,,,,,,,,,,,
Долгосрочные заемные средства,2 958,3 019,1 572,7 702,"7,56%","9,28%","3,92%","26,37%",61,-1447,6130,"1,72%","-5,36%","22,45%","0,00%","0,00%","389,95%","-0,92%","-19,14%","-56,31%"
Другие долгосрочные обязательства,2,0,0,0,"0,01%","0,00%","0,00%","0,00%",-2,0,0,"-0,01%","0,00%","0,00%","0,00%","0,00%","0,00%","0,03%","0,00%","0,00%"
Итог по разделу IV,2 960,3 019,1 572,7 702,"7,56%","0,00%","3,92%","26,37%",59,-1447,6130,"-7,56%","3,92%","22,45%","0,00%","0,00%","389,95%","-0,89%","-19,14%","-56,31%"
V. Краткосрочные обязательства,,,,,,,,,,,,,,,,,,,,
Краткосрочные заемные средства,0,200,50,50,"0,00%","0,61%","0,12%","0,17%",200,-150,0,"0,61%","-0,49%","0,05%","0,00%","0,00%","0,00%","-3,03%","-1,98%","0,00%"
Кредиторская задолженность,4 613,5 854,12 401,4 279,"11,78%","17,99%","30,93%","14,65%",1241,6547,-8122,"6,21%","12,94%","-16,28%","26,90%","111,84%","-65,49%","-18,78%","86,60%","74,60%"
Итог по разделу V,4 613,6 054,12 451,4 329,"11,78%","18,61%","31,05%","14,82%",1441,6397,-8122,"6,82%","12,45%","-16,23%","31,24%","105,67%","-65,23%","-21,80%","84,62%","74,60%"
БАЛАНС (III + IV +V),39 148,32 539,40 099,29 212,"100,00%","100,00%","100,00%","100,00%",-6609,7560,-10887,"0,00%","0,00%","0,00%","-16,88%","23,23%","-27,15%","100,00%","100,00%","100,00%"